Address,Latitude,Longitude,Type
gerji safeway,9.0214534,38.8333708,"establishment,food,grocery_or_supermarket,point_of_interest,store,supermarket"
gerji cadisco hospital,8.9953926,38.8141716,"establishment,hospital,point_of_interest"
egluo bole,8.9879119,38.7838925,"establishment,food,point_of_interest,store"
egiab church,9.0308544,38.7664298,"church,establishment,place_of_worship,point_of_interest"
ednamall bole,8.9973888,38.7867701,"establishment,point_of_interest,shopping_mall"
cmc figa,8.998764,38.785166,"establishment,point_of_interest,real_estate_agency"
civil service safe way super market,8.9487068,38.7322482,"establishment,food,grocery_or_supermarket,point_of_interest,store,supermarket"
civil service   ,9.0231499,38.832285,"establishment,point_of_interest,university"
civil service,9.0231499,38.832285,"establishment,point_of_interest,university"
chrcc bar melo,9.0076347,38.7811156,"establishment,night_club,point_of_interest"
brass,8.9900395,38.7935202,"establishment,hospital,point_of_interest"
bole MKs,8.9995109,38.7851796,"establishment,food,point_of_interest,restaurant"
bole kaya restaurant,8.994474,38.785369,"establishment,food,point_of_interest,restaurant"
bole frendship hotel,8.9940225,38.7847689,"establishment,lodging,point_of_interest"
bole airport ,8.9800689,38.7989319,"airport,establishment,point_of_interest"
bola ddis international acadami,8.9859382,38.798643,"establishment,point_of_interest,premise,school"
besahele hotel,9.0199096,38.8245823,"establishment,lodging,point_of_interest"
bata hotel,9.0149886,38.7850392,"establishment,lodging,point_of_interest"
bambis,9.0098881,38.7720447,"establishment,food,grocery_or_supermarket,point_of_interest,store,supermarket"
ayat square,9.0234472,38.8717911,"establishment,point_of_interest"
ancober ,8.9898942,38.7784891,"establishment,point_of_interest"
airport interanational,8.9800689,38.7989319,"airport,establishment,point_of_interest"
airport domestic,8.9800689,38.7989319,"airport,establishment,point_of_interest"
adofina hotel,8.995529,38.787224,"establishment,lodging,point_of_interest"
abune gorgorios school aware,9.0289655,38.7787773,"establishment,point_of_interest,premise,school"
4kilo turist hotel,9.0332074,38.7621404,"establishment,lodging,point_of_interest"
22 tsige,8.9579614,38.7524325,"church,establishment,place_of_worship,point_of_interest"
 r alexander hotel,9.016298,38.767855,"establishment,lodging,point_of_interest"
 bole airport,8.9800689,38.7989319,"airport,establishment,point_of_interest"
24,8.9917075,38.7878232,street_address
yeshi bulding,8.9988009,38.7714641,"establishment,point_of_interest,shopping_mall"
wfp,8.991373,38.7831039,"establishment,point_of_interest"
wengelawit ,8.9813327,38.7637068,"establishment,point_of_interest,shopping_mall"
wello sefer tehay guest house,8.9881495,38.7717256,"establishment,lodging,point_of_interest"
warit,9.0135119,38.779106,"establishment,point_of_interest,shopping_mall"
venition hotel,8.9934001,38.7857586,"establishment,lodging,point_of_interest"
tikur ambessa,9.0201489,38.7495809,"establishment,hospital,point_of_interest"
sufayer hotel,8.995529,38.787224,"establishment,lodging,point_of_interest"
sudi embassy,8.9869737,38.7711288,"embassy,establishment,point_of_interest"
sky get hotel,8.989451,38.794684,"establishment,lodging,point_of_interest"
showa super market,9.0216574,38.8321128,"establishment,food,grocery_or_supermarket,point_of_interest,store,supermarket"
sheger eva htoel,9.018495,38.76496,"establishment,lodging,point_of_interest"
sengatera,9.0288306,38.7499081,"neighborhood,political"
romi bole,9.0019719,38.7821982,"establishment,food,point_of_interest,restaurant"
ras hotsiel,9.01488,38.7523621,"establishment,lodging,point_of_interest"
ras hotel,9.01488,38.7523621,"establishment,lodging,point_of_interest"
piassa corner,9.0310954,38.7540389,"establishment,food,point_of_interest,restaurant"
olompia nework,9.0043588,38.7680892,"bus_station,establishment,point_of_interest,transit_station"
mola addis gues,8.9915393,38.7921935,"establishment,lodging,point_of_interest"
MK building cherchil godana,9.0285368,38.7518236,"establishment,health,point_of_interest"
millinium hall  ,8.9902942,38.7895542,"city_hall,establishment,local_government_office,point_of_interest"
meti building,9.0005536,38.7835126,"establishment,point_of_interest"
meskel square,9.0102464,38.7613592,"establishment,neighborhood,point_of_interest,political"
megeenagna,9.0204692,38.8024029,"bus_station,establishment,point_of_interest,transit_station"
medhanialem ,8.9960687,38.7894876,"church,establishment,place_of_worship,point_of_interest"
mebrat hojaa condominium,9.010417,38.765156,"establishment,lodging,point_of_interest"
kazanchis romina,9.0359735,38.7626524,"establishment,food,point_of_interest,restaurant"
investiment comtion ,9.0064066,38.7673858,"establishment,point_of_interest"
ibex hotel,8.9889053,38.7714278,"establishment,lodging,point_of_interest"
harmony ,8.996085,38.786148,"establishment,lodging,point_of_interest"
golden tulip,8.995529,38.787224,"establishment,lodging,point_of_interest"
global hotel,8.9934481,38.7597643,"establishment,lodging,point_of_interest"
gebete restauratn,8.9931782,38.7923491,"establishment,food,point_of_interest,restaurant"
flinstone,9.0008487,38.8367987,"establishment,point_of_interest"
exibition,9.0093015,38.7621006,"establishment,point_of_interest,shopping_mall"
egziabhereabe,9.065925,38.7391096,"church,establishment,place_of_worship,point_of_interest,premise"
effoy pizza ,9.0025438,38.7796968,"establishment,food,point_of_interest,restaurant"
ECA,9.01475,38.7642074,"establishment,finance,point_of_interest"
driendship mall,8.989722,38.7861854,"establishment,point_of_interest,shopping_mall"
dreamliner,8.9951333,38.7670022,"bar,establishment,lodging,point_of_interest"
"dembel, meskel ",9.004895,38.767084,"establishment,point_of_interest,shopping_mall"
dembel infront,9.0054043,38.767773,"establishment,point_of_interest,shopping_mall"
cmc appartment,8.998764,38.785166,"establishment,point_of_interest,real_estate_agency"
civil service colledge,9.0231499,38.832285,"establishment,point_of_interest,university"
bolle homes,8.9874651,38.7976622,"neighborhood,political"
bolle brass,8.9900395,38.7935202,"establishment,hospital,point_of_interest"
bole homes,8.9874651,38.7976622,"neighborhood,political"
bole DH,8.9896428,38.7865512,"establishment,point_of_interest,shopping_mall"
bole bridge,8.9969596,38.7719988,route
bell view,9.0216412,38.8028996,"establishment,lodging,point_of_interest"
american clinic,9.031014,38.8516106,"establishment,hospital,point_of_interest"
22 rebcca building,9.0154785,38.7848024,"establishment,finance,point_of_interest"
 hilton hotel,9.018495,38.76496,"establishment,lodging,point_of_interest"
zefemesh mall,9.020547,38.800301,"establishment,point_of_interest,shopping_mall"
yotek real estate,8.9588726,38.7259537,"establishment,point_of_interest,real_estate_agency"
yeman ,9.0046105,38.7191463,"embassy,establishment,point_of_interest"
world bank,8.9934177,38.7769398,"establishment,finance,point_of_interest"
weyra sefer condominum,9.002995,38.7098135,"establishment,point_of_interest,premise"
wengelawit,8.9813327,38.7637068,"establishment,point_of_interest,shopping_mall"
ureal awash insurance,8.9659868,38.7633561,"establishment,point_of_interest"
rowanda embassy,8.9881665,38.7769854,"embassy,establishment,point_of_interest"
"rera, sishu",8.9873164,38.7447587,"establishment,food,point_of_interest,restaurant"
radison ,9.016298,38.767855,"establishment,lodging,point_of_interest"
plaza ureal,8.9957675,38.7854411,"establishment,point_of_interest,shopping_mall"
piassa sebarn babur,9.0395882,38.7478459,"bank,establishment,finance,point_of_interest"
piassa hager fiker,9.0378882,38.7545706,"establishment,point_of_interest"
NRC adika,9.0000945,38.7987736,"car_dealer,establishment,point_of_interest,store"
mulmul ,9.016298,38.767855,"establishment,lodging,point_of_interest"
monaren hotel,8.9946281,38.7855226,"establishment,lodging,point_of_interest"
mamas kitchen,8.9961298,38.7877783,"establishment,food,point_of_interest,restaurant"
lem hotel,9.0148745,38.783239,"establishment,light_rail_station,point_of_interest,transit_station"
